ID_HARGA;KODE_JASA;CAKUPAN;VIA;TIPE;HARGA INDAH ONLINE;HARGA PKS;ASAL;TUJUAN;WILAYAH;UPDATE;JENIS;VARIAN;LEAD_TIME;KODE_NEGARA;SIMBOL;NILAI_TUKAR;DISKON;
1;1;;LAUT;BL;10100;7000;KUDUS;GORONTALO;"Kec. Tibawa; kec. Hulonthalangi; Kec. Kota Selatan";19/01/2023;BERAT;>10;12-14;ID;Rp;1;30,693069306931%;
1;1;;LAUT;BL;14140;10000;KUDUS;GORUT;;;BERAT;>10;12-14;ID;Rp;1;29,278642149929%;
1;1;;LAUT;BL;10908;7000;KUDUS;GOWA;Kec. Mappakasunggu Kab. Takalar (ambil dikantor gowa);30/12/2022;BERAT;>10;9-11;ID;Rp;1;35,826916024936%;
1;1;;DARAT;BL;3232;2000;KUDUS;GRESIK;Kec. Bungah (ambil dikantor Gresik);24/05/2023;BERAT;>10;3-4;ID;Rp;1;38,118811881188%;
1;1;;DARAT;BL;2828;1500;KUDUS;GROBOGAN;;;BERAT;>10;2-3;ID;Rp;1;46,958981612447%;
1;1;;DARAT;BL;4828;2000;KUDUS;GUNUNG KIDUL;;;BERAT;>10;2-3;ID;Rp;1;58,574979287490%;
1;1;;DARAT;BL;5333;3000;KUDUS;GUNUNG PUTRI;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;10908;7500;KUDUS;GUNUNG SUGIH;"kec. Gunung sugih, kab. Lampung tengah;";17/10/2022;BERAT;>10;5-6;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;15352;8500;KUDUS;GUNUNG TUA;;;BERAT;>10;4-5;ID;Rp;1;44,632621156853%;
1;1;;DARAT;BL;10504;8000;KUDUS;HARAU;;;BERAT;>10;6-7;ID;Rp;1;23,838537699924%;
1;1;;DARAT;BL;23028;23028;KUDUS;HATTU;;;BERAT;>10;30;ID;Rp;1;0,000000000000%;
1;1;;DARAT;BL;23028;23028;KUDUS;HITU;;;BERAT;>10;30;ID;Rp;1;0,000000000000%;
1;1;;DARAT;BL;14544;11000;KUDUS;IDI RAYEUK;;;BERAT;>10;6-7;ID;Rp;1;24,367436743674%;
1;1;;DARAT;BL;9292;7500;KUDUS;INDRALAYA;;;BERAT;>10;4-5;ID;Rp;1;19,285406801550%;
1;1;;DARAT;BL;3636;2500;KUDUS;INDRAMAYU;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;3636;2000;KUDUS;JABON;;;BERAT;>10;3-4;ID;Rp;1;44,994499449945%;
1;1;;DARAT;BL;5333;3000;KUDUS;JAKARTA;;;BERAT;>10;2-3;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;6464;4000;KUDUS;JAMBI;"Kec. Jambi Timur; Kec. Jambi Selatan; Kec. Pengabuan Kab. Tanjung Jabung (ambil di Jambi); Kec. Alam Barajo; Kec.Pasar Kota; Kec.Kota Baru; Kec. Telanai Pura";28/07/2023;BERAT;>10;6-7;ID;Rp;1;38,118811881188%;
